City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
313,boende,-0.2167,20.8667,293.32,97,100,1.12,CD,1701040113
314,luganville,-15.5333,167.1667,301.39,69,59,3.99,VU,1701040114
315,nar'yan-mar,67.6713,53.087,253.92,99,84,3.06,RU,1701040114
316,pangody,65.85,74.4859,260.44,96,95,3.28,RU,1701040115
317,tanumah,27.1,44.1333,295.16,36,83,1.34,SA,1701040116
318,lorengau,-2.0226,147.2712,302.43,70,91,2.06,PG,1701040116
319,touba,8.2833,-7.6833,296.45,79,64,0.19,CI,1701040117
320,les avirons,-21.2418,55.3394,294.2,68,0,3.09,RE,1701040118
321,tralee,52.2704,-9.7026,283.42,89,99,3.87,IE,1701040119
322,bernay,49.1667,0.6667,278.62,83,100,2.24,FR,1701040120
323,upington,-28.4478,21.2561,299.47,11,12,5.37,ZA,1701040120
324,hirara,24.8,125.2833,296.27,80,100,7.54,JP,1701040121
325,salinopolis,-0.6136,-47.3561,300.39,77,91,5.35,BR,1701040122
326,korsakov,46.6328,142.7813,268.06,57,60,6.05,RU,1701040122
327,alofi,-19.0595,-169.9187,298.91,87,48,7.69,NU,1701040123
328,tubmanburg,6.8708,-10.8172,296.43,96,23,1.04,LR,1701040123
329,brookings,44.3114,-96.7984,267.64,67,0,6.17,US,1701040124
330,ain sefra,32.75,-0.5833,281.64,27,0,1.21,DZ,1701040125
331,paracuru,-3.41,-39.0306,300.99,68,0,5.57,BR,1701040125
332,albertina,-22.2008,-46.6158,292.51,85,81,0.9,BR,1701040126
333,besancon,47.2488,6.0182,274.89,95,98,1.02,FR,1701040126
334,benjamin constant,-4.3831,-70.0311,298.18,83,20,1.03,BR,1701040127
335,ancud,-41.8697,-73.8203,286.72,81,100,0.92,CL,1701040127
336,port alberni,49.2413,-124.8028,281.75,78,61,1.26,CA,1701040128
337,kununurra,-15.7667,128.7333,300.14,78,23,1.03,AU,1701040129
338,sultanah,24.4926,39.5857,298.4,31,0,0.0,SA,1701039947
339,callao,-12.0667,-77.15,294.31,73,0,6.69,PE,1701040130
340,kriva palanka,42.2019,22.3319,266.14,88,56,0.52,MK,1701039914
341,mana,5.6592,-53.7767,299.24,85,94,4.29,GF,1701040131
342,tobelo,1.7284,128.0095,300.65,82,65,1.31,ID,1701039928
343,mutuali,-14.8706,37.0044,297.09,59,81,1.25,MZ,1701040132
344,hadibu,12.65,54.0333,298.84,74,97,5.16,YE,1701040132
345,jambi city,-1.6,103.6167,296.05,96,100,1.34,ID,1701040133
346,pontal,-21.0225,-48.0372,297.3,81,92,3.47,BR,1701040134
347,sept-iles,50.2001,-66.3821,272.62,81,54,0.45,CA,1701040134
348,misratah,32.3754,15.0925,290.04,59,35,4.07,LY,1701040135
349,pimentel,-6.8367,-79.9342,295.31,68,0,10.8,PE,1701040135
350,awjilah,29.1081,21.2869,288.3,58,6,3.85,LY,1701040136
351,kingston,17.997,-76.7936,301.68,70,20,9.26,JM,1701039897
352,charters towers,-20.1,146.2667,299.78,64,99,6.23,AU,1701040138
353,kargat,55.1956,80.2811,268.62,96,95,2.64,RU,1701040138
354,usogorsk,63.4106,48.6872,254.4,100,87,1.68,RU,1701040139
355,gardiner,44.2301,-69.7753,279.85,75,100,3.09,US,1701040140
